County,Premium_Rate_per_acre
Merced,133.91
Stanislaus,83.08
Madera,182.56
Fresno,149.04
Butte,159.59
Kern,169.62
Fresno,186.09
Merced,191.87
Tulare,164.5
Fresno,145.73
Other,174.32
Kern,123.74
Stanislaus,148.96
Tulare,217.93
Merced,129.16
Madera,147.25
Fresno,174.71
Madera,191.77
Colusa,166.57
Colusa,154.82
Stanislaus,0.0
Fresno,178.54
Madera,94.42
Merced,135.3
Madera,151.19
Stanislaus,137.17
Other,237.44
Butte,140.98
Stanislaus,173.3
Kern,159.16
Madera,156.05
Fresno,147.18
Fresno,0.0
Kern,179.98
Tulare,179.84
Kern,253.92
Colusa,163.25
Colusa,196.26
Other,73.75
Other,285.26
Kern,220.11
Fresno,148.63
Butte,108.46
Stanislaus,170.11
Colusa,155.09
Fresno,187.02
Other,186.33
Colusa,168.28
Madera,0.0
Other,203.79
Kern,0.0
Stanislaus,156.3
Other,197.47
Other,229.6
Madera,214.54
Stanislaus,186.05
Fresno,142.21
Merced,180.29
Stanislaus,205.85
Fresno,60.13
Madera,162.43
Merced,132.33
Stanislaus,180.55
Other,0.0
Other,0.0
Butte,167.28
Other,201.89
Glenn,108.33
Kern,228.04
Fresno,57.96
Kern,127.54
Other,214.54
Merced,155.97
Merced,192.16
Butte,149.45
Other,202.27
Kern,180.9
Colusa,141.73
Kern,226.55
Fresno,123.37
Butte,178.65
Other,164.96
Fresno,215.8
Tulare,0.0
Merced,132.03
Fresno,161.56
Glenn,173.94
Fresno,180.4
Merced,182.27
Fresno,214.66
Butte,156.62
Madera,96.04
Madera,157.06
Butte,118.16
San Joaquin,136.8
Stanislaus,136.11
Tulare,184.81
Fresno,170.15
Butte,67.21
Butte,103.31
Madera,156.46
Fresno,160.42
Merced,233.8
Other,247.56
Kern,186.3
Butte,168.94
Stanislaus,215.61
Stanislaus,162.19
Stanislaus,135.92
San Joaquin,173.6
Kern,187.56
Fresno,143.14
Kern,209.76
Merced,152.11
Madera,182.97
Madera,57.68
Other,209.86
Other,207.33
Kern,155.94
Fresno,155.04
Stanislaus,172.53
Other,190.89
Fresno,138.17
Merced,165.95
Madera,156.25
Madera,141.68
Kern,178.94
Fresno,117.27
Kern,202.74
Madera,122.05
Merced,63.59
Butte,93.52
Other,205.31
Fresno,212.59
Stanislaus,133.69
Other,231.5
Madera,154.73
Other,268.56
Madera,168.19
Madera,157.37
Fresno,107.43
Butte,124.89
Colusa,150.16
Stanislaus,171.85
Other,159.77
San Joaquin,72.77
Other,192.15
Madera,135.91
Madera,159.79
Glenn,121.86
Other,254.77
Merced,174.95
Other,226.81
Colusa,89.16
Butte,0.0
Kern,194.92
Other,149.9
Madera,164.05
Kern,47.84
Kern,199.76
Fresno,144.8
Stanislaus,177.84
Other,208.22
Kern,134.09
Stanislaus,178.42
Colusa,166.84
Fresno,149.56
Kern,0.0
Other,191.77
Other,150.16
Kern,170.89
Kern,201.36
Colusa,116.43
Kern,201.36
Kern,207.23
Merced,123.23
Glenn,137.69
Madera,175.78
Madera,217.78
Other,162.17
Other,0.0
Stanislaus,171.95
Kern,53.59
Kern,67.16
Kern,186.53
Other,236.81
Stanislaus,155.72
Butte,92.29
San Joaquin,100.74
Fresno,147.69
Fresno,187.85
Fresno,177.61
Other,202.15
Madera,174.06
Fresno,61.69
Merced,0.0
Merced,153.69
Kern,89.24
Kern,123.97
Butte,147.44
Other,172.8
Other,192.91
Kern,221.14
Fresno,172.02
Madera,145.22
Fresno,133.62
Colusa,117.33
Kern,164.8
Other,0.0
Fresno,226.66
Kern,164.34
Other,202.02
Colusa,175.63
Other,190.26
Kern,219.42
San Joaquin,130.55
Other,197.21
Stanislaus,115.53
Glenn,145.27
Merced,142.51
Merced,131.64
Madera,143.81
Other,260.21
Fresno,127.93
Kern,242.65
Butte,0.0
Fresno,154.94
Merced,99.79
Other,195.95
Stanislaus,109.25
Glenn,112.59
Fresno,155.35
Butte,149.8
Kern,206.88
Madera,153.52
Glenn,161.52
Madera,174.67
Stanislaus,152.34
Merced,132.92
Kern,240.7
Other,253.51
Kern,165.72
Merced,206.11
Merced,178.71
Butte,118.34
Fresno,141.28
Stanislaus,173.01
Colusa,177.34
Fresno,194.68
Tulare,183.26
Stanislaus,153.3
Kern,185.26
Merced,136.28
Merced,122.24
Madera,172.44
Madera,208.67
Fresno,174.71
Other,178.87
Fresno,183.4
Other,136.37
Merced,193.65
Merced,59.83
Butte,159.94
Merced,195.53
Fresno,191.89
Butte,159.07
Butte,136.34
Merced,181.98
Butte,179.26
Kern,0.0
Other,217.07
Fresno,160.94
Stanislaus,111.19
Kern,166.98
Merced,159.43
Butte,198.14
Kern,267.72
Butte,129.44
Kern,0.0
Other,173.56
Fresno,168.81
Kern,179.17
Merced,93.26
Merced,158.73
Madera,140.97
Fresno,188.58
Kern,65.67
Colusa,122.62
Kern,208.5
Colusa,0.0
Merced,175.05
Butte,141.33
Tulare,168.25
Kern,241.38
Fresno,145.62
Glenn,196.24
Fresno,243.33
Fresno,202.96
Glenn,48.93
Other,221.37
Madera,129.13
Fresno,223.25
Stanislaus,130.89
Kern,62.79
Other,185.2
Kern,0.0
Colusa,115.44
Stanislaus,140.55
Merced,0.0
Merced,178.51
Kern,0.0
San Joaquin,147.02
Butte,170.87
Merced,215.21
Fresno,135.9
Kern,166.75
Stanislaus,133.02
Madera,131.05
Merced,0.0
Fresno,180.81
Stanislaus,130.99
Colusa,145.04
Fresno,167.57
Kern,166.52
Madera,186.41
San Joaquin,145.73
Tulare,205.01
Stanislaus,182.77
Madera,189.65
Tulare,213.51
Fresno,167.46
Fresno,0.0
Merced,52.12
Kern,207.46
Fresno,161.25
Fresno,155.97
San Joaquin,0.0
Fresno,229.77
Butte,142.72
Kern,189.52
Other,218.09
Butte,133.2
Other,201.26
Madera,182.67
Glenn,142.03
Kern,127.76
Madera,109.8
Kern,162.96
Madera,118.71
Other,149.65
Madera,111.83
Kern,161.92
San Joaquin,139.38
Stanislaus,120.46
Colusa,112.57
Madera,130.04
Tulare,174.43
Butte,115.54
Fresno,69.24
Other,216.19
Madera,54.45
Glenn,150.29
San Joaquin,160.72
San Joaquin,113.99
Fresno,159.08
Fresno,210.73
Stanislaus,164.99
Fresno,166.12
Butte,156.88
Madera,161.62
Colusa,144.51
Kern,189.4
Tulare,135.46
Tulare,184.59
Merced,153.29
Merced,115.02
Fresno,175.33
Glenn,132.33
Butte,155.22
Tulare,144.84
Madera,189.45
Stanislaus,140.17
Madera,186.92
Other,0.0
Stanislaus,158.62
Stanislaus,162.58
Madera,0.0
Other,238.33
Fresno,144.28
Fresno,140.76
Other,180.26
Fresno,206.17
Madera,157.77
Other,220.49
Madera,185.8
Fresno,146.87
Butte,139.75
Other,289.68
Kern,223.79
Stanislaus,178.03
Fresno,152.97
Kern,203.32
San Joaquin,0.0
Madera,86.93
Fresno,161.25
Madera,201.89
Stanislaus,132.82
Fresno,99.57
Butte,102.87
Merced,159.23
Butte,179.17
Butte,96.84
Butte,106.63
Fresno,159.8
Kern,169.16
Merced,162.69
Glenn,0.0
Glenn,100.76
Butte,124.37
Merced,164.67
Merced,183.86
Colusa,139.21
Stanislaus,191.56
Merced,184.65
Other,241.74
Glenn,161.86
Fresno,140.66
Merced,168.92
Other,132.45
Glenn,106.72
Kern,217.81
San Joaquin,193.38
Colusa,184.33
Butte,142.2
Butte,206.18
Merced,157.35
Stanislaus,189.72
Fresno,137.55
Fresno,0.0
Madera,155.54
Kern,191.13
Other,165.97
Fresno,141.17
Fresno,177.81
Merced,184.35
Glenn,49.7
Other,191.65
San Joaquin,104.51
Glenn,123.57
Stanislaus,127.22
Fresno,193.86
Fresno,158.98
Madera,154.53
Other,64.39
Fresno,203.9
Fresno,114.88
Fresno,148.73
Madera,124.48
San Joaquin,0.0
Fresno,177.4
Fresno,139.83
Colusa,152.58
Fresno,137.34
Glenn,133.01
Stanislaus,164.99
Fresno,201.93
Merced,184.75
Kern,213.55
Madera,186.61
Kern,180.78
Kern,0.0
Merced,134.8
Merced,143.01
Stanislaus,158.23
Madera,138.14
Other,202.02
Fresno,0.0
Stanislaus,162.87
Other,214.16
San Joaquin,187.68
Stanislaus,144.42
Tulare,0.0
Fresno,208.76
Colusa,116.61
San Joaquin,153.73
Kern,78.66
Merced,170.31
Other,76.15
Madera,172.34
San Joaquin,132.66
Kern,159.85
Kern,199.98
Merced,256.05
Merced,146.08
San Joaquin,120.7
Colusa,172.85
Stanislaus,147.8
Stanislaus,178.23
Glenn,139.56
Tulare,198.17
San Joaquin,164.86
San Joaquin,203.96
Other,182.41
Other,314.23
Kern,180.44
Fresno,0.0
Kern,196.65
Merced,145.68
Kern,180.2
Butte,143.86
Stanislaus,191.36
Kern,169.4
Madera,101.1
Kern,161.23
Other,182.03
Kern,184.92
Fresno,174.29
Stanislaus,128.19
Fresno,179.47
Madera,159.69
Fresno,194.48
Fresno,0.0
Merced,158.34
Madera,74.69
Merced,133.12
Merced,121.55
Colusa,117.15
Kern,197.34
Tulare,165.49
Merced,101.37
Butte,166.85
Stanislaus,162.48
Other,103.73
Kern,197.8
Madera,190.46
Madera,159.19
Tulare,160.52
Madera,154.03
Fresno,216.73
Merced,159.72
Kern,197.8
Fresno,121.51
Fresno,187.23
Merced,151.71
Fresno,172.74
Merced,137.27
Kern,204.93
Other,220.87
Madera,168.7
Merced,160.42
Madera,195.72
Other,258.44
San Joaquin,127.7
Merced,144.0
Other,187.47
Stanislaus,180.35
Madera,0.0
Fresno,118.3
Glenn,110.12
Tulare,198.28
San Joaquin,169.0
Butte,138.35
Stanislaus,167.6
Glenn,94.72
Merced,214.61
Kern,210.22
Other,184.69
Fresno,173.98
Stanislaus,88.49
Stanislaus,121.43
Fresno,124.51
Kern,131.79
Merced,98.6
Stanislaus,159.0
Tulare,183.82
Glenn,125.69
Kern,161.34
Stanislaus,124.9
San Joaquin,0.0
Other,153.19
Fresno,253.68
Madera,127.82
Merced,173.37
Madera,115.77
Madera,205.33
Merced,139.55
Butte,152.25
Butte,169.38
Other,212.39
Fresno,193.65
Madera,211.31
Madera,133.89
Madera,209.48
Glenn,113.44
Fresno,172.33
Kern,208.04
Glenn,143.99
Fresno,155.35
Fresno,65.2
Kern,175.95
Butte,81.63
Fresno,184.54
Kern,182.74
Kern,166.29
Glenn,157.18
Fresno,141.9
Merced,168.23
Madera,137.63
Merced,189.79
Tulare,195.3
Madera,191.47
Stanislaus,165.19
Butte,168.94
Butte,125.86
Fresno,144.69
Glenn,200.07
Tulare,79.6
Fresno,0.0
Fresno,185.26
Stanislaus,153.01
Butte,152.78
Kern,240.92
Stanislaus,0.0
Fresno,95.12
Butte,120.0
Kern,181.47
Butte,153.47
Stanislaus,138.23
Kern,153.76
Colusa,152.04
Glenn,152.58
San Joaquin,91.45
Stanislaus,155.24
Madera,171.13
Merced,156.95
Kern,182.27
Fresno,171.6
Madera,176.9
Kern,159.85
Fresno,102.15
Merced,84.26
Other,219.35
Other,252.87
Stanislaus,183.83
Merced,148.84
Tulare,0.0
Butte,125.59
Madera,175.78
Other,164.45
Tulare,166.04
Madera,140.77
Kern,181.58
Fresno,96.26
Colusa,152.13
Fresno,144.9
Stanislaus,164.03
Fresno,180.19
Butte,150.42
Kern,142.94
Butte,85.48
Madera,145.53
Fresno,52.99
Butte,141.59
Fresno,189.4
Kern,274.85
Kern,198.6
Colusa,127.73
Tulare,137.56
Colusa,173.21
Fresno,197.17
Tulare,163.72
Other,205.94
Fresno,160.42
San Joaquin,153.64
Butte,108.55
Butte,202.51
Butte,182.93
San Joaquin,153.82
Kern,162.38
Kern,163.3
Fresno,151.63
Fresno,119.96
Butte,132.06
Merced,203.83
Fresno,204.41
Madera,171.03
Fresno,184.95
Butte,129.44
Butte,170.26
Other,190.38
Kern,200.44
Kern,183.31
Madera,141.98
Fresno,184.33
Butte,152.95
Tulare,192.87
Butte,55.06
Kern,177.68
Kern,191.48
Other,110.56
Glenn,186.03
Madera,172.75
Other,178.11
Madera,161.82
Merced,147.26
San Joaquin,168.54
Kern,182.62
Madera,82.88
Tulare,162.84
Tulare,215.72
Fresno,141.69
Kern,210.45
Merced,148.94
Madera,99.28
Madera,154.63
Other,231.24
Fresno,134.65
Fresno,192.51
Fresno,186.92
Other,71.73
Stanislaus,140.55
Fresno,210.73
Kern,148.46
Stanislaus,150.41
Fresno,111.37
Fresno,158.98
Glenn,138.37
Stanislaus,192.23
Fresno,166.32
Other,265.65
Fresno,132.27
Merced,165.76
Kern,188.48
Colusa,146.48
Kern,0.0
Butte,144.82
Kern,192.28
Glenn,130.97
Stanislaus,127.42
Fresno,158.56
Fresno,152.87
Merced,177.92
San Joaquin,165.78
Stanislaus,110.41
Butte,0.0
Other,228.59
Other,187.09
Fresno,106.71
Stanislaus,146.35
Butte,141.33
Stanislaus,213.87
Fresno,170.88
Merced,174.86
Merced,184.94
Madera,127.01
Fresno,197.17
Madera,146.34
Stanislaus,108.39
Stanislaus,160.55
Fresno,163.22
Butte,153.82
Stanislaus,169.63
Other,141.3
Tulare,177.74
Madera,105.45
Kern,181.82
Other,183.55
Kern,189.52
Madera,140.57
San Joaquin,124.94
Madera,157.97
Madera,55.66
Madera,212.42
Butte,128.13
Other,218.47
Madera,132.67
Other,229.72
Glenn,115.99
San Joaquin,170.29
Merced,167.04
Other,119.16
Madera,130.85
Madera,179.12
Stanislaus,151.86
Other,231.12
Kern,134.09
Madera,98.67
Kern,116.96
Fresno,153.28
Madera,142.49
San Joaquin,170.48
Fresno,153.28
Kern,120.18
Kern,199.98
Stanislaus,146.06
Madera,148.26
Tulare,0.0
Stanislaus,150.5
Stanislaus,157.84
Stanislaus,146.64
Fresno,166.53
Kern,139.15
Fresno,62.82
Glenn,160.16
Kern,176.3
Other,247.05
Fresno,111.26
Glenn,50.63
Butte,113.01
Stanislaus,199.58
Glenn,127.82
Butte,138.35
Stanislaus,133.4
Stanislaus,153.88
Merced,152.8
Kern,209.99
Kern,216.89
Butte,161.86
San Joaquin,121.53
Merced,57.16
Fresno,194.58
Madera,114.36
Stanislaus,191.07
Other,225.42
Madera,219.3
Madera,165.16
Fresno,163.84
Fresno,157.11
Glenn,98.55
Merced,207.79
Fresno,181.85
Other,222.64
Merced,53.11
Fresno,176.36
Stanislaus,152.82
Fresno,136.31
Merced,233.01
Fresno,184.33
San Joaquin,131.65
Fresno,117.06
Madera,177.0
Fresno,164.77
Colusa,172.13
Merced,205.81
Other,210.75
Merced,191.37
Other,71.22
Other,215.43
Kern,196.08
Colusa,112.93
Kern,183.77
Glenn,136.93
Butte,154.96
Colusa,154.82
Stanislaus,136.3
Fresno,157.32
Madera,159.09
Kern,152.6
Stanislaus,137.85
Fresno,144.8
Fresno,157.01
Kern,230.92
Kern,200.1
Tulare,190.77
Glenn,126.71
Kern,185.96
Butte,138.53
Stanislaus,158.52
Merced,122.14
Fresno,161.46
Fresno,166.43
Kern,137.88
Madera,170.22
Tulare,182.27
Fresno,152.25
Colusa,125.04
Kern,177.68
Kern,118.68
Kern,148.12
San Joaquin,136.34
Stanislaus,146.35
Tulare,198.17
Stanislaus,106.74
San Joaquin,188.69
Colusa,134.82
Kern,183.2
Kern,218.04
Stanislaus,109.16
Other,182.79
Merced,0.0
Kern,153.87
Merced,161.7
Glenn,85.27
Kern,164.34
Other,247.43
Tulare,211.08
Fresno,202.65
Fresno,221.8
Stanislaus,183.44
Fresno,152.14
Fresno,167.05
Kern,226.44
Madera,139.86
Fresno,160.53
Kern,208.15
Other,210.37
Fresno,153.28
Other,204.04
Fresno,186.92
Tulare,138.0
Madera,201.49
Kern,198.84
Kern,207.92
Fresno,219.73
Madera,0.0
Butte,178.12
Butte,167.72
Stanislaus,153.4
Madera,205.33
Stanislaus,150.41
Butte,160.9
San Joaquin,86.76
Stanislaus,0.0
Merced,83.57
Stanislaus,144.03
Stanislaus,133.69
Kern,142.83
Merced,109.58
Madera,116.68
Kern,220.34
Other,191.14
Other,161.92
Tulare,188.56
Other,235.67
Butte,127.17
Merced,130.45
Madera,187.62
Kern,0.0
San Joaquin,0.0
Tulare,132.81
Tulare,74.41
Madera,187.22
Stanislaus,195.81
Merced,171.0
Other,187.73
Madera,145.53
Madera,158.18
Glenn,146.03
Kern,210.68
Butte,121.49
San Joaquin,150.79
Kern,175.26
San Joaquin,170.94
Fresno,158.25
Fresno,163.12
Stanislaus,193.97
Kern,151.46
Madera,158.28
Butte,54.97
Colusa,194.38
Tulare,221.13
Stanislaus,150.79
Kern,165.37
Kern,186.88
Madera,149.37
Madera,163.13
Glenn,191.99
Fresno,201.51
Kern,117.88
Merced,196.42
Merced,151.32
Stanislaus,122.59
Kern,227.47
Kern,188.02
Fresno,185.78
San Joaquin,139.93
San Joaquin,147.29
Fresno,152.04
San Joaquin,133.58
Madera,147.25
Fresno,174.5
Kern,198.49
Tulare,206.89
Merced,187.51
Kern,149.61
Fresno,181.95
Kern,276.46
Madera,77.82
Fresno,187.23
Kern,78.2
Kern,149.96
Butte,151.81
Fresno,186.92
Butte,78.83
Other,219.73
Fresno,113.23
Colusa,64.14
Kern,196.54
Other,189.37
Fresno,126.48
Butte,81.89
Stanislaus,184.7
Tulare,178.74
Colusa,54.45
Tulare,101.13
Merced,148.65
San Joaquin,163.58
Kern,208.26
Fresno,0.0
Glenn,128.16
Other,235.16
Other,240.98
Madera,171.23
Kern,173.76
Stanislaus,158.52
Stanislaus,136.5
Madera,180.24
Merced,180.39
Stanislaus,139.01
Stanislaus,170.89
Other,191.9
Stanislaus,222.57
Tulare,155.44
Other,210.75
Madera,70.84
Kern,200.79
Stanislaus,144.32
Fresno,231.84
Stanislaus,149.92
Merced,211.74
Stanislaus,254.54
Other,174.32
Merced,167.14
Madera,67.6
Kern,156.28
Merced,161.7
Kern,69.8
Merced,152.9
Kern,166.52
Madera,183.48
Butte,144.21
Kern,140.42
Madera,200.07
Fresno,125.96
Fresno,150.49
Butte,100.6
Other,218.34
Merced,162.49
Merced,115.81
Other,125.99
Butte,130.49
Fresno,161.77
Fresno,173.36
Fresno,207.21
Fresno,241.98
Merced,187.91
Merced,163.48
Stanislaus,164.99
Merced,97.81
Glenn,148.24
Kern,159.27
Merced,141.23
Merced,189.0
Fresno,151.94
Madera,144.01
Fresno,168.81
Madera,185.6
Fresno,167.15
Merced,162.39
Fresno,153.28
Stanislaus,167.02
Kern,188.37
Kern,124.89
Fresno,179.57
Stanislaus,97.86
Stanislaus,176.49
Madera,185.5
San Joaquin,154.84
Fresno,57.75
San Joaquin,129.17
Fresno,179.26
Colusa,111.77
Kern,166.98
Other,201.51
Kern,175.49
Butte,148.58
San Joaquin,120.61
Stanislaus,173.4
Butte,146.13
Tulare,148.82
San Joaquin,143.61
Colusa,146.03
San Joaquin,158.61
Kern,0.0
Butte,146.66
Stanislaus,165.86
San Joaquin,139.93
Butte,147.71
Madera,189.14
Stanislaus,65.49
Merced,193.65
Stanislaus,178.52
Stanislaus,135.53
Colusa,62.88
Glenn,145.18
San Joaquin,132.2
Fresno,0.0
Fresno,146.97
Merced,169.12
Tulare,230.29
Butte,180.13
Other,202.27
Kern,158.93
Colusa,134.19
Stanislaus,152.63
Kern,209.3
Madera,134.29
Merced,57.46
Kern,203.32
Merced,174.66
Madera,162.93
Stanislaus,179.19
Kern,0.0
Other,162.68
Fresno,217.45
Tulare,159.31
Other,184.06
San Joaquin,150.79
Madera,176.8
Madera,199.06
Colusa,161.37
Fresno,191.16
Fresno,149.04
Stanislaus,119.2
Colusa,134.73
Fresno,190.23
Stanislaus,176.49
Other,127.51
Kern,211.83
Merced,173.77
Merced,58.65
Fresno,0.0
Stanislaus,51.78
Madera,152.0
Madera,154.53
Fresno,157.42
Glenn,177.35
Fresno,0.0
Stanislaus,174.65
Merced,133.61
San Joaquin,153.64
Other,214.16
Tulare,226.21
San Joaquin,175.72
Butte,140.8
Stanislaus,110.61
Tulare,198.61
Stanislaus,149.05
Kern,197.8
Other,280.7
Other,187.09
Glenn,0.0
Fresno,220.97
Merced,183.36
Merced,186.03
Madera,112.84
Fresno,181.54
Kern,190.78
Stanislaus,116.4
Merced,91.38
Merced,138.95
Merced,166.75
Other,96.77
Merced,163.48
Stanislaus,194.46
Stanislaus,129.25
Madera,172.75
Butte,126.82
Stanislaus,150.31
Merced,197.21
San Joaquin,156.22
Stanislaus,199.77
Kern,163.76
Merced,171.79
Fresno,57.86
Other,153.57
Madera,159.79
Stanislaus,141.04
Stanislaus,141.81
Fresno,213.93
Madera,219.2
San Joaquin,96.78
Kern,172.73
Kern,185.38
Merced,155.47
Fresno,175.43
Stanislaus,219.09
Fresno,159.8
San Joaquin,116.1
Fresno,140.66
Fresno,171.5
Butte,104.88
Madera,0.0
Other,67.42
Fresno,187.44
Tulare,179.51
Other,204.8
Other,213.28
Other,281.08
Butte,162.74
Fresno,177.4
Merced,235.88
Stanislaus,144.8
Butte,161.25
Other,219.98
Tulare,139.55
Kern,179.74
Fresno,156.28
Merced,0.0
Fresno,186.61
Kern,188.48
Kern,70.04
Butte,146.22
Madera,171.43
Butte,192.28
Fresno,143.04
Merced,122.24
Fresno,176.16
San Joaquin,201.57
Glenn,95.74
Kern,197.34
Fresno,183.92
Madera,154.13
Kern,193.54
Madera,130.55
Merced,139.94
Fresno,0.0
Colusa,135.99
Merced,60.13
Fresno,164.46
Tulare,185.14
Madera,164.85
Madera,111.12
Merced,178.51
Tulare,177.85
Merced,94.25
Colusa,135.54
Stanislaus,158.42
San Joaquin,161.74
Madera,139.86
Other,235.42
Fresno,191.06
Other,163.69
Glenn,183.39
Merced,151.61
Stanislaus,138.23
Colusa,113.2
Colusa,48.53
Other,228.84
Fresno,177.5
Stanislaus,124.42
Fresno,158.46
Stanislaus,115.05
Kern,188.6
Kern,216.43
Merced,103.35
Fresno,129.58
Tulare,143.74
Glenn,148.92
Fresno,184.02
Other,230.1
Other,179.5
Glenn,122.46
Tulare,197.73
San Joaquin,109.48
Fresno,157.84
Kern,175.72
Stanislaus,182.96
Other,224.92
Kern,189.86
Fresno,165.81
Fresno,113.64
San Joaquin,58.7
Other,228.21
Merced,141.33
Stanislaus,128.09
Madera,167.99
Kern,143.06
Other,197.09
Fresno,157.11
Colusa,156.62
Tulare,227.2
Kern,129.26
Stanislaus,156.49
Kern,207.34
Kern,170.54
Madera,122.96
Other,265.9
Fresno,163.12
Other,196.83
Stanislaus,195.62
Kern,232.88
Kern,154.1
Fresno,175.43
Fresno,156.8
San Joaquin,186.02
Other,209.23
Stanislaus,120.56
Stanislaus,170.11
Madera,135.3
Merced,156.76
Other,198.1
Fresno,61.69
Glenn,128.42
Other,176.09
Other,168.12
Fresno,161.15
Stanislaus,145.96
Merced,190.48
Kern,210.1
Fresno,133.51
Kern,144.44
Stanislaus,163.45
Fresno,234.32
Kern,212.75
Butte,146.39
Stanislaus,142.29
Butte,151.55
Other,241.99
Madera,126.4
Stanislaus,160.36
Merced,185.34
Kern,160.2
San Joaquin,122.08
Other,105.37
Fresno,186.09
Butte,190.44
Kern,155.94
Stanislaus,125.58
Madera,189.04
Colusa,133.92
Merced,181.38
Merced,162.49
Tulare,175.76
Fresno,116.13
Kern,195.27
Fresno,100.6
San Joaquin,140.85
Kern,240.92
Butte,156.01
Madera,154.53
Merced,161.6
San Joaquin,107.36
Madera,128.93
Fresno,166.74
Colusa,168.82
Stanislaus,133.6
Tulare,156.44
Merced,141.33
Stanislaus,157.46
Stanislaus,120.27
Fresno,71.31
Stanislaus,197.93
Stanislaus,163.25
Colusa,124.06
Tulare,130.71
Kern,208.5
Tulare,158.98
Stanislaus,214.84
Colusa,191.42
Other,0.0
Kern,210.34
Kern,224.94
Fresno,189.51
Fresno,74.31
Merced,186.82
Butte,178.91
Other,197.09
Kern,179.06
Other,191.9
Other,211.0
Fresno,64.17
Stanislaus,147.03
Kern,206.88
Madera,155.65
Butte,153.65
Other,225.04
San Joaquin,128.52
Madera,167.99
Other,198.48
Madera,143.1
Glenn,131.65
Merced,183.46
Merced,137.77
Madera,217.07
Madera,142.69
Glenn,176.92
Merced,122.93
Stanislaus,150.5
Colusa,115.53
Other,255.15
Other,74.13
Butte,142.81
Stanislaus,140.55
San Joaquin,109.3
Fresno,209.9
Merced,133.61
Merced,149.54
San Joaquin,177.93
Kern,165.48
Fresno,181.12
Kern,175.84
Tulare,73.42
Glenn,115.91
Kern,0.0
Kern,176.52
Kern,212.29
Kern,170.77
Other,149.27
Madera,166.37
Kern,179.28
San Joaquin,146.19
Glenn,121.78
Kern,141.56
Butte,85.65
San Joaquin,141.96
Madera,143.0
Stanislaus,151.47
Other,201.77
Kern,209.64
San Joaquin,220.34
San Joaquin,104.24
Kern,262.78
Stanislaus,143.84
Colusa,142.35
Other,167.61
Other,192.03
San Joaquin,127.05
Stanislaus,140.65
Merced,0.0
Glenn,131.14
Kern,197.68
San Joaquin,161.55
Other,152.94
Kern,177.68
Stanislaus,205.85
Fresno,195.51
Fresno,115.61
Kern,277.15
Glenn,114.88
Other,159.9
Fresno,140.66
San Joaquin,146.28
Merced,199.18
Fresno,0.0
Glenn,165.52
Merced,159.72
Stanislaus,0.0
Colusa,146.39
Butte,188.96
Madera,198.66
Fresno,184.44
Merced,185.54
Stanislaus,98.73
Madera,133.08
Fresno,143.66
Other,125.11
Stanislaus,166.25
Butte,123.93
Merced,135.79
Merced,196.22
Stanislaus,102.98
Colusa,177.34
Stanislaus,150.41
Kern,213.55
Other,230.36
Merced,65.27
Madera,186.51
Fresno,179.16
Kern,190.1
Butte,90.2
Stanislaus,155.04
Merced,228.06
Tulare,277.55
Other,190.38
Merced,103.84
Fresno,166.53
Kern,238.28
Kern,221.38
Merced,75.76
Fresno,185.58
Kern,124.54
Stanislaus,166.64
Stanislaus,115.44
Kern,177.79
Colusa,128.54
San Joaquin,130.27
Colusa,167.11
Kern,246.68
San Joaquin,163.12
Butte,138.62
San Joaquin,106.54
Fresno,144.18
Kern,158.58
Other,129.66
Glenn,133.27
San Joaquin,143.24
Colusa,173.3
San Joaquin,155.76
Kern,70.38
Fresno,0.0
Fresno,139.31
Stanislaus,168.28
Butte,60.74
Glenn,104.76
Merced,183.95
Merced,213.03
Madera,173.86
Stanislaus,159.78
Other,187.85
Butte,112.57
Stanislaus,189.05
Stanislaus,120.75
Stanislaus,133.4
Stanislaus,98.24
Other,203.16
Other,170.27
Stanislaus,146.54
Stanislaus,111.19
Other,208.85
Fresno,157.73
Other,208.85
Colusa,159.4
Stanislaus,178.42
Kern,177.68
Butte,151.81
Tulare,194.97
Stanislaus,124.13
Stanislaus,150.31
San Joaquin,142.88
Stanislaus,165.77
Stanislaus,157.46
Fresno,165.08
Merced,160.51
Madera,190.36
Tulare,202.14
San Joaquin,160.26
Kern,154.44
Madera,190.86
San Joaquin,135.15
Other,254.26
Madera,133.99
Madera,208.78
Glenn,171.82
Fresno,153.28
Kern,170.2
Fresno,0.0
Colusa,143.25
San Joaquin,167.99
Fresno,200.07
Butte,134.6
Merced,181.38
Other,0.0
Madera,157.37
Tulare,206.89
Fresno,174.4
Butte,50.26
Merced,161.6
Kern,230.23
Other,251.36
San Joaquin,143.8
Merced,237.95
Butte,152.78
Tulare,231.4
Merced,158.93
Madera,147.75
Fresno,204.62
Tulare,214.07
Stanislaus,152.24
Stanislaus,130.31
Fresno,208.45
Kern,131.22
Butte,161.78
Other,90.7
Kern,192.4
Stanislaus,137.37
Other,211.13
Stanislaus,171.08
Tulare,191.32
Fresno,146.04
Other,249.58
Tulare,130.16
Glenn,119.99
Kern,126.73
Stanislaus,159.68
Fresno,0.0
Glenn,0.0
Fresno,189.61
Merced,190.68
Other,202.91
Tulare,201.04
Merced,174.56
Fresno,188.99
San Joaquin,176.73
Madera,0.0
Stanislaus,104.81
Kern,213.21
Fresno,161.25
